일시,기온(°C),습도(%),전력수요(MWh)
2015-01-01 01:00:00,-4.0,53.5,59052
2015-01-01 02:00:00,-4.7,51.3,57215
2015-01-01 03:00:00,-5.1,48.6,56189
2015-01-01 04:00:00,-5.7,48.2,56118
2015-01-01 05:00:00,-6.1,48.0,56350
2015-01-01 06:00:00,-6.6,49.5,56363
2015-01-01 07:00:00,-6.8,51.3,54925
2015-01-01 08:00:00,-7.0,52.1,53384
2015-01-01 09:00:00,-6.3,50.5,52253
2015-01-01 10:00:00,-5.4,46.5,52676
2015-01-01 11:00:00,-4.6,44.4,52766
2015-01-01 12:00:00,-3.9,42.3,52365
2015-01-01 13:00:00,-3.2,41.1,52248
2015-01-01 14:00:00,-2.8,40.1,52225
2015-01-01 15:00:00,-2.6,39.8,52564
2015-01-01 16:00:00,-2.8,41.5,53488
2015-01-01 17:00:00,-3.5,45.8,56813
2015-01-01 18:00:00,-4.2,49.1,58839
2015-01-01 19:00:00,-4.6,51.5,58858
2015-01-01 20:00:00,-4.9,53.8,58769
2015-01-01 21:00:00,-5.2,56.2,58975
2015-01-01 22:00:00,-5.5,58.8,60815
2015-01-01 23:00:00,-5.7,61.3,61739
2015-01-02 00:00:00,-5.8,63.7,59110
2015-01-02 01:00:00,-5.8,65.1,56951
2015-01-02 02:00:00,-5.9,65.7,56294
2015-01-02 03:00:00,-5.9,67.0,55099
2015-01-02 04:00:00,-5.9,67.6,55153
2015-01-02 05:00:00,-5.9,68.0,56621
2015-01-02 06:00:00,-5.9,68.7,58350
2015-01-02 07:00:00,-6.0,69.7,61048
2015-01-02 08:00:00,-6.0,70.2,65887
2015-01-02 09:00:00,-4.7,66.2,68790
2015-01-02 10:00:00,-3.2,58.9,69797
2015-01-02 11:00:00,-1.9,51.9,69597
2015-01-02 12:00:00,-1.1,48.5,66047
2015-01-02 13:00:00,-0.5,45.7,67436
2015-01-02 14:00:00,-0.2,44.8,67832
2015-01-02 15:00:00,-0.1,43.6,67357
2015-01-02 16:00:00,-0.5,42.5,68258
2015-01-02 17:00:00,-1.4,42.5,69180
2015-01-02 18:00:00,-2.5,44.5,69091
2015-01-02 19:00:00,-3.1,46.1,66684
2015-01-02 20:00:00,-3.7,47.8,65351
2015-01-02 21:00:00,-4.4,50.7,64078
2015-01-02 22:00:00,-5.0,53.1,65006
2015-01-02 23:00:00,-5.7,56.0,66579
2015-01-03 00:00:00,-6.3,58.9,63969
2015-01-03 01:00:00,-6.8,60.7,61826
2015-01-03 02:00:00,-7.3,62.9,60235
2015-01-03 03:00:00,-7.7,64.3,59675
2015-01-03 04:00:00,-8.0,66.2,59499
2015-01-03 05:00:00,-8.3,67.1,60224
2015-01-03 06:00:00,-8.5,67.6,60745
2015-01-03 07:00:00,-8.6,68.3,60933
2015-01-03 08:00:00,-8.5,68.4,62524
2015-01-03 09:00:00,-6.5,63.5,63297
2015-01-03 10:00:00,-3.9,54.8,64079
2015-01-03 11:00:00,-1.5,46.2,63678
2015-01-03 12:00:00,0.4,40.5,60724
2015-01-03 13:00:00,1.9,38.5,60808
2015-01-03 14:00:00,2.9,37.9,60482
2015-01-03 15:00:00,3.6,37.7,60018
2015-01-03 16:00:00,3.4,39.1,60079
2015-01-03 17:00:00,2.1,44.6,61066
2015-01-03 18:00:00,0.5,52.6,62011
2015-01-03 19:00:00,-0.0,57.4,61161
2015-01-03 20:00:00,-0.3,60.6,60546
2015-01-03 21:00:00,-0.3,62.3,60082
2015-01-03 22:00:00,-0.1,63.3,61362
2015-01-03 23:00:00,-0.2,64.9,63237
2015-01-04 00:00:00,-0.4,66.9,60728
2015-01-04 01:00:00,-0.6,68.9,58380
2015-01-04 02:00:00,-0.7,69.7,56588
2015-01-04 03:00:00,-0.7,71.2,55862
2015-01-04 04:00:00,-0.9,73.4,55784
2015-01-04 05:00:00,-1.0,74.9,55967
2015-01-04 06:00:00,-1.2,76.0,55987
2015-01-04 07:00:00,-1.2,77.2,55127
2015-01-04 08:00:00,-1.2,77.5,54888
